dayIso	month	symbol	type	stockAttempted	quoteAttempted	tradeAttempted	enrichAttempted	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots
2025-12-31	2025-12	XOM	open	true	true	true	true	406	390	406	388	388	388	0	2	2	0	2	0
2026-01-02	2026-01	ABBV	open	true	true	true	true	406	390	406	373	373	373	0	17	17	0	17	0
2026-01-02	2026-01	AFRM	open	true	true	true	true	406	390	406	382	382	382	0	8	8	0	8	0
2026-01-02	2026-01	BLK	open	true	true	true	true	406	390	406	231	231	231	0	159	159	0	159	0
2026-01-02	2026-01	CME	open	true	true	true	true	406	390	406	137	137	137	0	253	253	0	253	0
2026-01-02	2026-01	CVX	open	true	true	true	true	406	390	406	389	389	389	0	1	1	0	1	0
2026-01-02	2026-01	ETN	open	true	true	true	true	406	390	406	270	270	270	0	120	120	0	120	0
2026-01-02	2026-01	HAL	open	true	true	true	true	406	390	406	371	371	371	0	19	19	0	19	0
2026-01-02	2026-01	JNJ	open	true	true	true	true	406	390	406	375	375	375	0	15	15	0	15	0
2026-01-02	2026-01	LOW	open	true	true	true	true	406	390	406	308	308	308	0	82	82	0	82	0
2026-01-02	2026-01	MO	open	true	true	true	true	406	390	406	366	366	366	0	24	24	0	24	0
2026-01-02	2026-01	NOC	open	true	true	true	true	406	390	406	105	105	105	0	285	285	0	285	0
2026-01-02	2026-01	PM	open	true	true	true	true	406	390	406	295	295	295	0	95	95	0	95	0
2026-01-02	2026-01	RBLX	open	true	true	true	true	406	390	406	387	387	387	0	3	3	0	3	0
2026-01-02	2026-01	SCHW	open	true	true	true	true	406	390	406	368	368	368	0	22	22	0	22	0
2026-01-02	2026-01	TFC	open	true	true	true	true	406	390	406	143	143	143	0	247	247	0	247	0
2026-01-02	2026-01	VLO	open	true	true	true	true	406	390	406	300	300	300	0	90	90	0	90	0
2026-01-05	2026-01	ALLY	open	true	true	true	true	406	390	406	183	183	183	0	207	207	0	207	0
2026-01-05	2026-01	BMY	open	true	true	true	true	406	390	406	383	383	383	0	7	7	0	7	0
2026-01-05	2026-01	COP	open	true	true	true	true	406	390	406	389	389	389	0	1	1	0	1	0
2026-01-05	2026-01	EOG	open	true	true	true	true	406	390	406	219	219	219	0	171	171	0	171	0
2026-01-05	2026-01	HD	open	true	true	true	true	406	390	406	387	387	387	0	3	3	0	3	0
2026-01-05	2026-01	KHC	open	true	true	true	true	406	390	406	371	371	371	0	19	19	0	19	0
2026-01-05	2026-01	MCD	open	true	true	true	true	406	390	406	387	387	387	0	3	3	0	3	0
2026-01-05	2026-01	MRK	open	true	true	true	true	406	390	406	387	387	387	0	3	3	0	3	0
2026-01-05	2026-01	PEP	open	true	true	true	true	406	390	406	389	389	389	0	1	1	0	1	0
2026-01-05	2026-01	PSX	open	true	true	true	true	406	390	406	352	352	352	0	38	38	0	38	0
2026-01-05	2026-01	SCHW	open	true	true	true	true	406	390	406	381	381	381	0	9	9	0	9	0
2026-01-05	2026-01	TGT	open	true	true	true	true	406	390	406	389	389	389	0	1	1	0	1	0
2026-01-05	2026-01	WFC	open	true	true	true	true	406	390	406	385	385	385	0	5	5	0	5	0
2026-01-05	2026-01	XOM	open	true	true	true	true	406	390	406	388	388	388	0	2	2	0	2	0
2026-01-06	2026-01	ALLY	open	true	true	true	true	406	390	406	189	189	189	0	201	201	0	201	0
2026-01-06	2026-01	BMY	open	true	true	true	true	406	390	406	383	383	383	0	7	7	0	7	0
2026-01-06	2026-01	COP	open	true	true	true	true	406	390	406	376	376	376	0	14	14	0	14	0
2026-01-06	2026-01	DE	open	true	true	true	true	406	390	406	341	341	341	0	49	49	0	49	0
2026-01-06	2026-01	GE	open	true	true	true	true	406	390	406	380	380	380	0	10	10	0	10	0
2026-01-06	2026-01	HD	open	true	true	true	true	406	390	406	389	389	389	0	1	1	0	1	0
2026-01-06	2026-01	KEY	open	true	true	true	true	406	390	406	182	182	182	0	208	208	0	208	0
2026-01-06	2026-01	LOW	open	true	true	true	true	406	390	406	285	285	285	0	105	105	0	105	0
2026-01-06	2026-01	MO	open	true	true	true	true	406	390	406	386	386	386	0	4	4	0	4	0
2026-01-06	2026-01	NOC	open	true	true	true	true	406	390	406	148	148	148	0	242	242	0	242	0
