symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
HAL	1	406	390	406	390	359	0	0	0	31	31	0	359	0	0	0	1	1	1	1	1	0	1	0
HD	1	406	390	406	390	387	0	0	0	3	3	0	387	0	0	0	1	1	1	1	1	0	1	0
HON	1	406	390	406	390	314	0	0	0	76	76	0	314	0	0	0	1	1	1	1	1	0	1	0
HOOD	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
ICE	1	406	390	406	390	97	0	0	0	293	293	0	97	0	0	0	1	1	1	1	1	0	1	0
INTC	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
JNJ	1	406	390	406	390	383	0	0	0	7	7	0	383	0	0	0	1	1	1	1	1	0	1	0
JPM	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
KEY	1	406	390	406	390	111	0	0	0	279	279	0	111	0	0	0	1	1	1	1	1	0	1	0
KHC	1	406	390	406	390	332	0	0	0	58	58	0	332	0	0	0	1	1	1	1	1	0	1	0
KO	1	406	390	406	390	385	0	0	0	5	5	0	385	0	0	0	1	1	1	1	1	0	1	0
LLY	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
LMT	1	406	390	406	390	359	0	0	0	31	31	0	359	0	0	0	1	1	1	1	1	0	1	0
LOW	1	406	390	406	390	269	0	0	0	121	121	0	269	0	0	0	1	1	1	1	1	0	1	0
MA	1	406	390	406	390	359	0	0	0	31	31	0	359	0	0	0	1	1	1	1	1	0	1	0
MCD	1	406	390	406	390	359	0	0	0	31	31	0	359	0	0	0	1	1	1	1	1	0	1	0
META	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
MMM	1	406	390	406	390	326	0	0	0	64	64	0	326	0	0	0	1	1	1	1	1	0	1	0
MO	1	406	390	406	390	339	0	0	0	51	51	0	339	0	0	0	1	1	1	1	1	0	1	0
MPC	1	406	390	406	390	178	0	0	0	212	212	0	178	0	0	0	1	1	1	1	1	0	1	0
MRK	1	406	390	406	390	387	0	0	0	3	3	0	387	0	0	0	1	1	1	1	1	0	1	0
MS	1	406	390	406	390	342	0	0	0	48	48	0	342	0	0	0	1	1	1	1	1	0	1	0
MSFT	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
MU	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
NFLX	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
NKE	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
NOC	1	406	390	406	390	189	0	0	0	201	201	0	189	0	0	0	1	1	1	1	1	0	1	0
NOW	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
NVDA	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
ORCL	1	406	390	406	390	389	0	0	0	1	1	0	389	0	0	0	1	1	1	1	1	0	1	0
OXY	1	406	390	406	390	389	0	0	0	1	1	0	389	0	0	0	1	1	1	1	1	0	1	0
PEP	1	406	390	406	390	368	0	0	0	22	22	0	368	0	0	0	1	1	1	1	1	0	1	0
PFE	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
PG	1	406	390	406	390	368	0	0	0	22	22	0	368	0	0	0	1	1	1	1	1	0	1	0
PLTR	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
PM	1	406	390	406	390	261	0	0	0	129	129	0	261	0	0	0	1	1	1	1	1	0	1	0
PNC	1	406	390	406	390	168	0	0	0	222	222	0	168	0	0	0	1	1	1	1	1	0	1	0
PSX	1	406	390	406	390	215	0	0	0	175	175	0	215	0	0	0	1	1	1	1	1	0	1	0
PYPL	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
QCOM	1	406	390	406	390	387	0	0	0	3	3	0	387	0	0	0	1	1	1	1	1	0	1	0
QQQ	1	406	390	406	390	405	0	0	0	0	0	0	405	0	0	0	0	1	1	1	1	0	1	0
RBLX	1	406	390	406	390	389	0	0	0	1	1	0	389	0	0	0	1	1	1	1	1	0	1	0
RF	1	406	390	406	390	67	0	0	0	323	323	0	67	0	0	0	1	1	1	1	1	0	1	0
RTX	1	406	390	406	390	382	0	0	0	8	8	0	382	0	0	0	1	1	1	1	1	0	1	0
SBUX	1	406	390	406	390	387	0	0	0	3	3	0	387	0	0	0	1	1	1	1	1	0	1	0
SCHW	1	406	390	406	390	311	0	0	0	79	79	0	311	0	0	0	1	1	1	1	1	0	1	0
SHOP	1	406	390	406	390	382	0	0	0	8	8	0	382	0	0	0	1	1	1	1	1	0	1	0
SLB	1	406	390	406	390	385	0	0	0	5	5	0	385	0	0	0	1	1	1	1	1	0	1	0
SNOW	1	406	390	406	390	389	0	0	0	1	1	0	389	0	0	0	1	1	1	1	1	0	1	0
SOFI	1	406	390	406	390	391	0	0	0	0	0	0	391	0	0	0	0	1	1	1	1	0	1	0
SPGI	1	406	390	406	390	169	0	0	0	221	221	0	169	0	0	0	1	1	1	1	1	0	1	0
SPY	1	406	390	0	0	405	0	406	390	0	0	0	405	1	1	0	0	1	0	0	1	0	1	0
TFC	1	406	390	406	390	156	0	0	0	234	234	0	156	0	0	0	1	1	1	1	1	0	1	0
TGT	1	406	390	406	390	388	0	0	0	2	2	0	388	0	0	0	1	1	1	1	1	0	1	0
TSLA	1	406	390	406	390	389	0	0	0	1	1	0	389	0	0	0	1	1	1	1	1	0	1	0
UBER	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
UNH	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
UPST	1	406	390	406	390	368	0	0	0	22	22	0	368	0	0	0	1	1	1	1	1	0	1	0
USB	1	406	390	0	0	0	0	406	390	390	0	390	0	1	1	1	0	0	0	0	0	0	1	0
V	1	406	390	406	390	389	0	0	0	1	1	0	389	0	0	0	1	1	1	1	1	0	1	0
VLO	1	406	390	406	390	339	0	0	0	51	51	0	339	0	0	0	1	1	1	1	1	0	1	0
WFC	1	406	390	406	390	388	0	0	0	2	2	0	388	0	0	0	1	1	1	1	1	0	1	0
WMT	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
XOM	1	406	390	406	390	388	0	0	0	2	2	0	388	0	0	0	1	1	1	1	1	0	1	0
