dayIso	month	symbol	type	stockAttempted	quoteAttempted	tradeAttempted	enrichAttempted	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-12-05	2025-12	EOG	open	true	true	true	true	406	390	390	406	286	286	16	0	104	0
2025-12-05	2025-12	ETN	open	true	true	true	true	406	390	390	406	227	227	16	0	163	0
2025-12-05	2025-12	GE	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-05	2025-12	GILD	open	true	true	true	true	406	390	390	406	338	338	16	0	52	0
2025-12-05	2025-12	GIS	open	true	true	true	true	406	390	390	406	251	251	16	0	139	0
2025-12-05	2025-12	HAL	open	true	true	true	true	406	390	390	406	364	364	16	0	26	0
2025-12-05	2025-12	HD	open	true	true	true	true	406	390	390	406	388	388	16	0	2	0
2025-12-05	2025-12	HON	open	true	true	true	true	406	390	390	406	275	275	16	0	115	0
2025-12-05	2025-12	ICE	open	true	true	true	true	406	390	290	406	57	57	116	0	333	0
2025-12-05	2025-12	JNJ	open	true	true	true	true	406	390	390	406	381	381	16	0	9	0
2025-12-05	2025-12	KEY	open	true	true	true	true	406	390	390	406	259	259	16	0	131	0
2025-12-05	2025-12	KHC	open	true	true	true	true	406	390	390	406	355	355	16	0	35	0
2025-12-05	2025-12	KO	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-05	2025-12	LMT	open	true	true	true	true	406	390	390	406	365	365	16	0	25	0
2025-12-05	2025-12	LOW	open	true	true	true	true	406	390	390	406	289	289	16	0	101	0
2025-12-05	2025-12	MA	open	true	true	true	true	406	390	390	406	373	373	16	0	17	0
2025-12-05	2025-12	MCD	open	true	true	true	true	406	390	390	406	380	380	16	0	10	0
2025-12-05	2025-12	MMM	open	true	true	true	true	406	390	390	406	355	355	16	0	35	0
2025-12-05	2025-12	MO	open	true	true	true	true	406	390	390	406	373	373	16	0	17	0
2025-12-05	2025-12	MPC	open	true	true	true	true	406	390	330	406	87	87	76	0	303	0
2025-12-05	2025-12	MRK	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-05	2025-12	MS	open	true	true	true	true	406	390	390	406	373	373	16	0	17	0
2025-12-05	2025-12	NOC	open	true	true	true	true	406	390	380	406	111	111	26	0	279	0
2025-12-05	2025-12	NOW	open	true	true	true	true	406	390	390	406	362	362	16	0	28	0
2025-12-05	2025-12	ORCL	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-05	2025-12	OXY	open	true	true	true	true	406	390	390	406	385	385	16	0	5	0
2025-12-05	2025-12	PEP	open	true	true	true	true	406	390	390	406	383	383	16	0	7	0
2025-12-05	2025-12	PFE	open	true	true	true	true	406	390	390	406	387	387	16	0	3	0
2025-12-05	2025-12	PG	open	true	true	true	true	406	390	390	406	387	387	16	0	3	0
2025-12-05	2025-12	PM	open	true	true	true	true	406	390	390	406	333	333	16	0	57	0
2025-12-05	2025-12	PNC	open	true	true	true	true	406	390	390	406	284	284	16	0	106	0
2025-12-05	2025-12	PSX	open	true	true	true	true	406	390	390	406	289	289	16	0	101	0
2025-12-05	2025-12	QCOM	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-05	2025-12	RBLX	open	true	true	true	true	406	390	390	406	384	384	16	0	6	0
2025-12-05	2025-12	RF	open	true	true	true	true	406	390	330	406	87	87	76	0	303	0
2025-12-05	2025-12	RTX	open	true	true	true	true	406	390	390	406	329	329	16	0	61	0
2025-12-05	2025-12	SBUX	open	true	true	true	true	406	390	390	406	387	387	16	0	3	0
2025-12-05	2025-12	SCHW	open	true	true	true	true	406	390	390	406	345	345	16	0	45	0
2025-12-05	2025-12	SHOP	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-05	2025-12	SLB	open	true	true	true	true	406	390	390	406	378	378	16	0	12	0
2025-12-05	2025-12	SPGI	open	true	true	true	true	406	390	380	406	143	143	26	0	247	0
2025-12-05	2025-12	TFC	open	true	true	true	true	406	390	390	406	134	134	16	0	256	0
2025-12-05	2025-12	UBER	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-05	2025-12	UPST	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-05	2025-12	USB	open	true	true	true	true	406	390	390	406	267	267	16	0	123	0
