dayIso	month	symbol	type	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-12-04	2025-12	HAL	open	406	390	406	343	343	343	0	47	47	0
2025-12-04	2025-12	HD	open	406	390	406	385	385	385	0	5	5	0
2025-12-04	2025-12	HON	open	406	390	406	213	213	213	0	177	177	0
2025-12-04	2025-12	ICE	open	406	390	406	85	85	85	0	305	305	0
2025-12-04	2025-12	JNJ	open	406	390	406	385	385	385	0	5	5	0
2025-12-04	2025-12	KEY	open	406	390	406	234	234	234	0	156	156	0
2025-12-04	2025-12	KHC	open	406	390	406	315	315	315	0	75	75	0
2025-12-04	2025-12	LMT	open	406	390	406	340	340	340	0	50	50	0
2025-12-04	2025-12	LOW	open	406	390	406	262	262	262	0	128	128	0
2025-12-04	2025-12	MA	open	406	390	406	377	377	377	0	13	13	0
2025-12-04	2025-12	MCD	open	406	390	406	373	373	373	0	17	17	0
2025-12-04	2025-12	MMM	open	406	390	406	339	339	339	0	51	51	0
2025-12-04	2025-12	MO	open	406	390	406	354	354	354	0	36	36	0
2025-12-04	2025-12	MPC	open	406	390	406	120	120	120	0	270	270	0
2025-12-04	2025-12	MRK	open	406	390	406	387	387	387	0	3	3	0
2025-12-04	2025-12	MS	open	406	390	406	381	381	381	0	9	9	0
2025-12-04	2025-12	NOC	open	406	390	406	100	100	100	0	290	290	0
2025-12-04	2025-12	NOW	open	406	390	406	361	361	361	0	29	29	0
2025-12-04	2025-12	ORCL	open	406	390	406	389	389	389	0	1	1	0
2025-12-04	2025-12	OXY	open	406	390	406	374	374	374	0	16	16	0
2025-12-04	2025-12	PEP	open	406	390	406	382	382	382	0	8	8	0
2025-12-04	2025-12	PG	open	406	390	406	381	381	381	0	9	9	0
2025-12-04	2025-12	PM	open	406	390	406	379	379	379	0	11	11	0
2025-12-04	2025-12	PNC	open	406	390	406	256	256	256	0	134	134	0
2025-12-04	2025-12	PSX	open	406	390	406	210	210	210	0	180	180	0
2025-12-04	2025-12	RF	open	406	390	406	107	107	107	0	283	283	0
2025-12-04	2025-12	RTX	open	406	390	406	357	357	357	0	33	33	0
2025-12-04	2025-12	SBUX	open	406	390	406	389	389	389	0	1	1	0
2025-12-04	2025-12	SCHW	open	406	390	406	353	353	353	0	37	37	0
2025-12-04	2025-12	SLB	open	406	390	406	376	376	376	0	14	14	0
