dayIso	month	symbol	type	expectedSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-11-04	2025-11	NKE	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	NOC	open	406	406	406	82	82	0	0	324	0
2025-11-04	2025-11	NOW	open	406	406	406	378	378	0	0	28	0
2025-11-04	2025-11	NVDA	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	ORCL	open	406	406	406	382	382	0	0	24	0
2025-11-04	2025-11	OXY	open	406	406	406	382	382	0	0	24	0
2025-11-04	2025-11	PEP	open	406	406	406	385	385	0	0	21	0
2025-11-04	2025-11	PFE	open	406	406	406	388	388	0	0	18	0
2025-11-04	2025-11	PG	open	406	406	406	374	374	0	0	32	0
2025-11-04	2025-11	PLTR	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	PM	open	406	406	406	324	324	0	0	82	0
2025-11-04	2025-11	PNC	open	406	406	406	196	196	0	0	210	0
2025-11-04	2025-11	PSX	open	406	406	406	144	144	0	0	262	0
2025-11-04	2025-11	PYPL	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	QCOM	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	QQQ	open	406	406	406	405	405	0	0	1	0
2025-11-04	2025-11	RBLX	open	406	406	406	389	389	0	0	17	0
2025-11-04	2025-11	RF	open	406	406	406	52	52	0	0	354	0
2025-11-04	2025-11	RTX	open	406	406	406	311	311	0	0	95	0
2025-11-04	2025-11	SBUX	open	406	406	406	389	389	0	0	17	0
2025-11-04	2025-11	SCHW	open	406	406	406	303	303	0	0	103	0
2025-11-04	2025-11	SHOP	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	SLB	open	406	406	406	334	334	0	0	72	0
2025-11-04	2025-11	SNOW	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	SOFI	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	SPGI	open	406	406	406	144	144	0	0	262	0
2025-11-04	2025-11	SPY	open	406	406	406	405	405	0	0	1	0
2025-11-04	2025-11	TFC	open	406	406	406	123	123	0	0	283	0
2025-11-04	2025-11	TGT	open	406	406	406	386	386	0	0	20	0
2025-11-04	2025-11	TSLA	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	UBER	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	UNH	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	UPST	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	USB	open	406	406	406	227	227	0	0	179	0
2025-11-04	2025-11	V	open	406	406	406	385	385	0	0	21	0
2025-11-04	2025-11	VLO	open	406	406	406	226	226	0	0	180	0
2025-11-04	2025-11	WFC	open	406	406	406	381	381	0	0	25	0
2025-11-04	2025-11	WMT	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	XOM	open	406	406	406	388	388	0	0	18	0
2025-11-05	2025-11	AAPL	open	406	406	406	390	390	0	0	16	0
2025-11-05	2025-11	ABBV	open	406	406	406	343	343	0	0	63	0
2025-11-05	2025-11	ABNB	open	406	406	406	376	376	0	0	30	0
2025-11-05	2025-11	ADBE	open	406	406	406	389	389	0	0	17	0
2025-11-05	2025-11	AFRM	open	406	406	406	388	388	0	0	18	0
