symbol	month	scope_symbol_days	expected_1m_slots_calendar	early_close_days_in_scope	full_close_days_in_scope	trade_1m_slots	trade_slot_cov_pct	quote_1m_slots	quote_slot_cov_pct	stock_1m_slots	stock_slot_cov_pct	enrich_1m_slots	enrich_slot_cov_pct	enrich_vs_trade_slot_pct	trade_rows	quote_rows	stock_rows	enrich_rows
MSFT	2025-12-01	21	8526	0	0	8192	96.08	8192	96.08	8526	100	8192	96.08	100	1182697	504480	8526	1071856
MU	2025-12-01	21	8526	0	0	8192	96.08	8192	96.08	8526	100	8192	96.08	100	1068309	464451	8526	969674
NFLX	2025-12-01	21	8526	0	0	8194	96.11	8194	96.11	8526	100	8194	96.11	100	1421275	631965	8526	1225148
NKE	2025-12-01	21	8526	0	0	8189	96.05	8189	96.05	8526	100	8189	96.05	100	398539	193212	8526	293850
NOC	2025-12-01	21	8526	0	0	2432	28.52	2432	28.52	8526	100	2432	28.52	100	5804	4077	8526	5511
NOW	2025-12-01	21	8526	0	0	7627	89.46	7627	89.46	8526	100	7627	89.46	100	87778	56588	8526	81016
NVDA	2025-12-01	21	8526	0	0	8201	96.19	8201	96.19	8526	100	8201	96.19	100	6146121	1390993	8526	5322090
ORCL	2025-12-01	21	8526	0	0	8174	95.87	8174	95.87	8526	100	8174	95.87	100	1495001	571071	8526	1383696
OXY	2025-12-01	21	8526	0	0	8082	94.79	8082	94.79	8526	100	8082	94.79	100	109780	63394	8526	82133
PEP	2025-12-01	21	8526	0	0	7958	93.34	7958	93.34	8526	100	7958	93.34	100	81800	49833	8526	70348
PFE	2025-12-01	21	8526	0	0	8175	95.88	8175	95.88	8526	100	8175	95.88	100	219293	111968	8526	189579
PG	2025-12-01	21	8526	0	0	8056	94.49	8056	94.49	8526	100	8056	94.49	100	107889	61819	8526	96353
PLTR	2025-12-01	21	8526	0	0	8191	96.07	8191	96.07	8526	100	8191	96.07	100	1900362	615243	8526	1658966
PM	2025-12-01	21	8526	0	0	6672	78.25	6672	78.25	8526	100	6672	78.25	100	29857	20538	8526	28270
PNC	2025-12-01	21	8526	0	0	4626	54.26	4626	54.26	8526	100	4626	54.26	100	15351	10952	8526	14398
PSX	2025-12-01	21	8526	0	0	4896	57.42	4896	57.42	8526	100	4896	57.42	100	15569	10844	8526	14084
PYPL	2025-12-01	21	8526	0	0	8190	96.06	8190	96.06	8526	100	8190	96.06	100	274545	156165	8526	221061
QCOM	2025-12-01	21	8526	0	0	8142	95.5	8142	95.5	8526	100	8142	95.5	100	133152	76334	8526	125648
QQQ	2025-12-01	21	8526	0	0	8505	99.75	8505	99.75	8526	100	8505	99.75	100	14045011	2068987	8526	12671943
RBLX	2025-12-01	21	8526	0	0	7886	92.49	7886	92.49	8526	100	7886	92.49	100	83945	50514	8526	72827
RF	2025-12-01	21	8526	0	0	1965	23.05	1965	23.05	8526	100	1965	23.05	100	4371	2773	8526	3902
RTX	2025-12-01	21	8526	0	0	7024	82.38	7024	82.38	8526	100	7024	82.38	100	36978	24874	8526	31547
SBUX	2025-12-01	21	8526	0	0	8095	94.94	8095	94.94	8526	100	8095	94.94	100	109984	67897	8526	96393
SCHW	2025-12-01	21	8526	0	0	7095	83.22	7095	83.22	8526	100	7095	83.22	100	46545	28106	8526	38872
SHOP	2025-12-01	21	8526	0	0	8113	95.16	8113	95.16	8526	100	8113	95.16	100	126248	80784	8526	112276
SLB	2025-12-01	21	8526	0	0	7442	87.29	7442	87.29	8526	100	7442	87.29	100	56334	31852	8526	51116
SNOW	2025-12-01	21	8526	0	0	8155	95.65	8155	95.65	8526	100	8155	95.65	100	305931	149048	8526	279406
SOFI	2025-12-01	21	8526	0	0	8190	96.06	8190	96.06	8526	100	8190	96.06	100	1028377	466153	8526	870172
SPGI	2025-12-01	21	8526	0	0	2894	33.94	2894	33.94	8526	100	2894	33.94	100	7529	4960	8526	7374
SPY	2025-12-01	21	8526	0	0	8508	99.79	8508	99.79	8526	100	8508	99.79	100	22926335	2514095	8526	19993040
TFC	2025-12-01	21	8526	0	0	3570	41.87	3570	41.87	8526	100	3570	41.87	100	11322	6398	8526	10581
TGT	2025-12-01	21	8526	0	0	8152	95.61	8152	95.61	8526	100	8152	95.61	100	168063	93814	8526	137124
TSLA	2025-12-01	21	8526	0	0	8201	96.19	8201	96.19	8526	100	8201	96.19	100	10585945	1845128	8526	9579355
UBER	2025-12-01	21	8526	0	0	8189	96.05	8189	96.05	8526	100	8189	96.05	100	325997	178334	8526	281180
UNH	2025-12-01	21	8526	0	0	8193	96.09	8193	96.09	8526	100	8193	96.09	100	502303	280752	8526	409372
UPST	2025-12-01	21	8526	0	0	8027	94.15	8027	94.15	8526	100	8027	94.15	100	106247	65372	8526	101335
USB	2025-12-01	21	8526	0	0	5921	69.45	5921	69.45	8526	100	5921	69.45	100	27653	15432	8526	24026
V	2025-12-01	21	8526	0	0	8081	94.78	8081	94.78	8526	100	8081	94.78	100	127348	74879	8526	114357
VLO	2025-12-01	21	8526	0	0	6174	72.41	6174	72.41	8526	100	6174	72.41	100	28674	17951	8526	27435
