s.day_iso	s.symbol	expected_slots	stock_slots	quote_slots	trade_slots	enrich_slots
2025-11-06	CL	406	406	406	222	222
2025-11-06	CME	406	406	406	138	138
2025-11-06	CMG	406	406	406	390	390
2025-11-06	COIN	406	406	406	390	390
2025-11-06	COP	406	406	406	369	369
2025-11-06	COST	406	406	406	390	390
2025-11-06	CRM	406	406	406	390	390
2025-11-06	CSCO	406	406	406	383	383
2025-11-06	CVS	406	406	406	369	369
2025-11-06	CVX	406	406	406	380	380
2025-11-06	DE	406	406	406	239	239
2025-11-06	DIS	406	406	406	389	389
2025-11-06	EOG	406	406	406	270	270
2025-11-06	ETN	406	406	406	221	221
2025-11-06	GE	406	406	406	352	352
2025-11-06	GILD	406	406	406	310	310
2025-11-06	GIS	406	406	406	217	217
2025-11-06	GOOGL	406	406	406	390	390
2025-11-06	GS	406	406	406	390	390
2025-11-06	HAL	406	406	406	339	339
2025-11-06	HD	406	406	406	386	386
2025-11-06	HON	406	406	406	232	232
2025-11-06	HOOD	406	406	406	390	390
2025-11-06	ICE	406	406	406	105	105
2025-11-06	INTC	406	406	406	390	390
2025-11-06	JNJ	406	406	406	363	363
2025-11-06	JPM	406	406	406	389	389
2025-11-06	KEY	406	406	406	130	130
2025-11-06	KHC	406	406	406	354	354
2025-11-06	KO	406	406	406	386	386
2025-11-06	LLY	406	406	406	390	390
2025-11-06	LMT	406	406	406	354	354
2025-11-06	LOW	406	406	406	287	287
2025-11-06	MA	406	406	406	343	343
2025-11-06	MCD	406	406	406	384	384
2025-11-06	META	406	406	406	390	390
2025-11-06	MMM	406	406	406	234	234
2025-11-06	MO	406	406	406	360	360
2025-11-06	MPC	406	406	406	176	176
2025-11-06	MRK	406	406	406	385	385
2025-11-06	MS	406	406	406	315	315
2025-11-06	MSFT	406	406	406	390	390
2025-11-06	MU	406	406	406	390	390
2025-11-06	NFLX	406	406	406	390	390
2025-11-06	NKE	406	406	406	389	389
2025-11-06	NOC	406	406	406	88	88
2025-11-06	NOW	406	406	406	386	386
2025-11-06	NVDA	406	391	976	390	390
2025-11-06	ORCL	406	406	406	386	386
2025-11-06	OXY	406	406	406	373	373
2025-11-06	PEP	406	406	406	380	380
2025-11-06	PFE	406	406	406	390	390
2025-11-06	PG	406	406	406	365	365
2025-11-06	PLTR	406	406	406	390	390
2025-11-06	PM	406	406	406	310	310
2025-11-06	PNC	406	406	406	157	157
2025-11-06	PSX	406	406	406	247	247
2025-11-06	PYPL	406	406	406	390	390
2025-11-06	QCOM	406	406	406	390	390
2025-11-06	QQQ	406	406	406	405	405
2025-11-06	RBLX	406	406	406	387	387
2025-11-06	RF	406	406	406	55	55
2025-11-06	RTX	406	406	406	307	307
2025-11-06	SBUX	406	406	406	390	390
2025-11-06	SCHW	406	406	406	323	323
2025-11-06	SHOP	406	406	406	389	389
2025-11-06	SLB	406	406	406	341	341
2025-11-06	SNOW	406	406	406	387	387
2025-11-06	SOFI	406	406	406	390	390
2025-11-06	SPGI	406	406	406	116	116
2025-11-06	SPY	406	406	406	405	405
2025-11-06	TFC	406	406	406	116	116
2025-11-06	TGT	406	406	406	389	389
2025-11-06	TSLA	406	406	406	390	390
2025-11-06	UBER	406	406	406	390	390
2025-11-06	UNH	406	406	406	390	390
2025-11-06	UPST	406	406	406	390	390
2025-11-06	USB	406	406	406	213	213
2025-11-06	V	406	406	406	387	387
2025-11-06	VLO	406	406	406	337	337
2025-11-06	WFC	406	406	406	383	383
2025-11-06	WMT	406	406	406	390	390
2025-11-06	XOM	406	406	406	386	386
2025-11-07	AAPL	406	406	406	390	390
2025-11-07	ABBV	406	406	406	365	365
2025-11-07	ABNB	406	406	406	390	390
2025-11-07	ADBE	406	406	406	390	390
2025-11-07	AFRM	406	406	406	390	390
2025-11-07	ALLY	406	406	406	184	184
2025-11-07	AMD	406	406	406	390	390
2025-11-07	AMGN	406	406	406	359	359
2025-11-07	AMZN	406	406	406	390	390
2025-11-07	AVGO	406	406	406	390	390
