ticker,start,end,days,price_return_pct,total_distributions,distribution_return_pct,total_return_reinvested_pct,sharpe,sortino,calmar,cagr_pct,max_drawdown_pct,vol_ann_pct,SPY_total_return_reinvested_pct,SPY_sharpe,SPY_sortino,SPY_calmar,QQQ_total_return_reinvested_pct,QQQ_sharpe,QQQ_sortino,QQQ_calmar
MSFO,2023-08-25,2026-03-13,931,-38.40436017244397,13.807,68.41922592270116,28.372261238113026,0.6143661704461338,0.7421189778111427,0.4261466161541683,10.329842571803272,-24.240114036400595,19.01092493857134,55.42370774102081,1.1979521698236364,1.5562515950474496,1.0105964746656904,65.55786529838514,1.0968832811331901,1.4708480391374412,0.9639890365108956
APLY,2023-04-18,2026-03-13,1060,-42.615240562298105,12.747,63.1133320899099,26.36718199635675,0.4870074943974941,0.6166957109196706,0.2703775778262441,8.406109015506491,-31.090259344318138,21.23880758685881,65.70286009928465,1.2325728197014767,1.6350186983091375,1.0145135776099183,89.26501029355656,1.2239841691178166,1.67251151096531,1.0810009933474174
XOMO,2023-08-31,2026-03-13,925,-34.2164438915787,9.536999999999999,47.67308372950982,25.910516436902633,0.5921269481150456,0.747115200354661,0.504753077322563,9.535206408295682,-18.89083363072237,18.311501493990303,51.84137574879344,1.1441631507339565,1.486775717291043,0.9571260598140849,59.439089564619785,1.027653180022984,1.3788413570723648,0.8893828018310059
YMAX,2024-01-17,2026-03-13,785,-58.190955505964496,16.152,81.16583070162349,21.89424321711364,0.5230791567323516,0.6726627603747918,0.3781526124069729,9.66242865933944,-25.55166444001874,22.515870094593424,43.696140642913875,1.128844521082862,1.4456743728103898,0.9810424022797427,47.41222615009666,0.9786214547869039,1.3065120933473096,0.8703518737822455
HOOY,2025-05-08,2026-03-13,309,-43.661972797245994,44.083,83.45259523112303,17.272661677463574,0.6213214049909691,0.8805520475367481,0.41347753953184824,20.79775037146605,-50.29958917481683,53.36520621720874,18.227745130918294,1.7569382791494779,2.493457160595328,4.331248714433273,22.026357169693323,1.6067579836158705,2.287936219612993,3.3788589879609248
BIGY,2024-11-21,2026-03-13,476,-2.117323181293085,7.605,15.163599422786781,13.892572289922756,0.6623682769950408,0.8365656234168753,0.5556065367937321,10.52028354963339,-18.934772816647094,17.520853351331343,13.248543241047583,0.6225589880671576,0.798196379945375,0.5352855509739853,18.35979437595845,0.6981041215017676,0.9291228166386084,0.6078082940498806
DISO,2023-08-25,2026-03-13,931,-49.56357716981958,13.094000000000001,64.93751382340642,13.578206994654774,0.34293782299174147,0.40684664264034187,0.19305863666366013,5.138910366757843,-26.61839146678876,21.3625553913324,55.42371887207875,1.197951981229628,1.5562487109605008,1.010596212393129,65.55789347560324,1.0968833971210397,1.4708493894356631,0.9639887827973783
CVNY,2025-01-31,2026-03-13,405,-51.71173157415304,33.241,65.70406511225089,12.368667068122585,0.4807373519403249,0.5832546871568092,0.2582835805374516,11.177101718536097,-43.27453450690953,60.500564641147555,11.340157420042507,0.6095800803249788,0.7855860192019022,0.5466277322226587,14.252820641718023,0.6416780941625952,0.8528675530559373,0.5652400203424582
RDTY,2025-03-06,2026-03-13,371,-25.716435020454508,17.316,35.188685258519406,10.993975781504183,0.5701285387302111,0.7011875144990443,0.6267248734084121,10.845447632756677,-17.304958033298167,22.40794409735862,16.99940621310059,0.9057533667432063,1.153055923034845,1.221437417940241,22.230863786049994,0.9772880046056875,1.2954446486558577,1.3972615046199397
GPTY,2025-01-23,2026-03-13,413,-25.454182394010783,17.157,34.25234567325827,10.158545272845743,0.4385849490957118,0.5874219586710343,0.3433851803018856,8.95579932420425,-26.080913906449886,28.992282605481577,9.892154180966163,0.5391022871855182,0.6990709181037187,0.46505347435992056,12.03272516111853,0.554430506317596,0.7348532058014268,0.46545389276635885
