HorizonYears,Mode,PersonId,Person,FundsUsed,AssignmentsUsed,Start,End,TradingDays,Calmar,AnnualizedReturn,MaxDrawdown,SPYCalmarSameWindow,QQQCalmarSameWindow,BeatsSPY,BeatsQQQ,BeatsEither
1,partial,PM::Nicholas Quinn,Nicholas Quinn,4,4,2025-11-26,2026-03-13,72,-0.7211975794758213,-0.0794419768829775,-0.11015286121830481,-1.6181041055290317,-1.7355998448081817,True,True,True
1,partial,PM::John S. McNamara III,John S. McNamara III,1,1,2026-01-21,2026-03-13,36,-2.331078032329496,-0.05553146522694763,-0.02382222493489583,-4.471373208991388,-3.683288311915278,True,True,True
1,partial,PM::Andrew Hicks,Andrew Hicks,2,2,2026-03-02,2026-03-13,9,-14.617890403610506,-0.39633989686504323,-0.027113344396613503,-18.96587053802066,-17.504763266416077,True,True,True
1,partial,PM::Kimberly Chan,Kimberly Chan,2,2,2026-03-02,2026-03-13,9,-14.617890403610506,-0.39633989686504323,-0.027113344396613503,-18.96587053802066,-17.504763266416077,True,True,True
2,full,PM::Eric Becker,Eric Becker,2,2,2024-03-13,2026-03-13,501,2.5790340121098736,0.07942391463844567,-0.030795993486518625,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::John S. Orrico,John S. Orrico,2,2,2024-03-13,2026-03-13,501,2.5790340121098736,0.07942391463844567,-0.030795993486518625,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Daniel Snover,Daniel Snover,1,1,2024-03-13,2026-03-13,501,2.3776693329824834,0.16023729367768946,-0.06739258964857497,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Jeffrey W. Kernagis,Jeffrey W. Kernagis,1,1,2024-03-13,2026-03-13,501,2.3776693329824834,0.16023729367768946,-0.06739258964857497,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Christopher Plunkett,Christopher Plunkett,1,1,2024-03-13,2026-03-13,501,2.1918933238759855,0.04668755306221284,-0.02130010277126715,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Brian Murphy,Brian Murphy,1,1,2024-03-13,2026-03-13,501,2.0845594942743038,0.050595937148725234,-0.02427176450837598,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Michael Grayson,Michael Grayson,1,1,2024-03-13,2026-03-13,501,2.0845594942743038,0.050595937148725234,-0.02427176450837598,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Michael Peck,Michael Peck,1,1,2024-03-13,2026-03-13,501,2.0845594942743038,0.050595937148725234,-0.02427176450837598,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Greg Barrato,Greg Barrato,2,2,2024-03-13,2026-03-13,501,1.9804156534892696,0.07420505124718457,-0.0374694328013635,0.7881149143201435,0.7412536460068084,True,True,True
2,full,PM::Francis J. Ok,Francis J. Ok,2,2,2024-03-13,2026-03-13,501,1.980415653489252,0.07420505124718457,-0.03746943280136383,0.7881149143201435,0.7412536460068084,True,True,True
