Universe,HorizonYears,Mode,Ticker,Name,Provider,Manager,Start,End,TradingDays,AnnualizedReturn,MaxDrawdown,Calmar,SPYCalmarSameWindow,QQQCalmarSameWindow,BeatsSPY,BeatsQQQ,BeatsEither
ManagerEquity,2,full,TPG,TPG Inc.,,TPG,2024-03-13,2026-03-13,501,-0.014683726446225065,-0.43831137366153994,-0.03350067401528053,0.7881154448457747,0.7412538228397494,False,False,False
ManagerEquity,2,full,BX,Blackstone Inc.,,Blackstone,2024-03-13,2026-03-13,501,-0.052227349314119986,-0.46497159988008385,-0.11232374047703003,0.7881154448457747,0.7412538228397494,False,False,False
ManagerEquity,2,full,KKR,KKR & Co. Inc.,,KKR,2024-03-13,2026-03-13,501,-0.05810733802925716,-0.4941621453601649,-0.11758759462828995,0.7881154448457747,0.7412538228397494,False,False,False
ManagerEquity,2,full,ARES,Ares Management Corporation,,Ares Management,2024-03-13,2026-03-13,501,-0.10836007422942673,-0.49971751336452086,-0.21684265876505923,0.7881154448457747,0.7412538228397494,False,False,False
ManagerEquity,2,full,OWL,Blue Owl Capital Inc.,,Blue Owl Capital,2024-03-13,2026-03-13,501,-0.2611072417752175,-0.655814000832154,-0.3981422193547284,0.7881154448457747,0.7412538228397494,False,False,False
ManagerEquity,3,full,BN,Brookfield Corporation,,Brookfield Corporation,2023-03-13,2026-03-13,753,0.265338445589941,-0.2784393051142694,0.9529489576949207,1.1444314733538028,1.21921275607037,False,False,False
ManagerEquity,3,full,AMG,"Affiliated Managers Group, Inc.",,Affiliated Managers Group,2023-03-13,2026-03-13,753,0.25701252531747554,-0.26973256810191526,0.9528420209915711,1.1444314733538028,1.21921275607037,False,False,False
ManagerEquity,3,full,PSHZF,"Pershing Square Holdings, Ltd.",,Pershing Square,2023-03-13,2026-03-13,753,0.19405193570317847,-0.2566294341031008,0.7561561922207963,1.1444314733538028,1.21921275607037,False,False,False
ManagerEquity,3,full,STEP,StepStone Group Inc.,,StepStone Group,2023-03-13,2026-03-13,753,0.2873428500272448,-0.43098654762671473,0.6667095565036467,1.1444314733538028,1.21921275607037,False,False,False
ManagerEquity,3,full,TFG.L,Tetragon Financial Group Limited,,Tetragon,2023-03-13,2026-03-13,759,0.14737035153055955,-0.25901213392199685,0.5689708404739875,1.1444314733538028,1.21921275607037,False,False,False
